Name,Team,Position,Hall of Fame
Babe Ruth,Atlanta Braves,RF,TRUE
Barry Bonds,San Francisco Giants,LF,FALSE
Willie Mays,New York Mets,CF,TRUE
Ty Cobb,Oakland Athletics,CF,TRUE
Honus Wagner,Pittsburgh Pirates,SS,TRUE
Hank Aaron,Milwaukee Brewers,RF,TRUE
Ted Williams,Boston Red Sox,LF,TRUE
Rogers Hornsby,Baltimore Orioles,2B,TRUE
Stan Musial,St. Louis Cardinals,OF,TRUE
Lou Gehrig,New York Yankees,1B,TRUE
Alex Rodriguez,New York Yankees,SS,FALSE
Mickey Mantle,New York Yankees,CF,TRUE
Mel Ott,San Francisco Giants,RF,TRUE
Mike Schmidt,Philadelphia Phillies,3B,TRUE
Rickey Henderson,Los Angeles Dodgers,LF,TRUE
Frank Robinson,Cleveland Indians,RF,TRUE
Nap Lajoie,Oakland Athletics,2B,TRUE
Jimmie Foxx,Philadelphia Phillies,1B,TRUE
Eddie Mathews,Detroit Tigers,3B,TRUE
Carl Yastrzemski,Boston Red Sox,LF,TRUE
Cap Anson,Chicago Cubs,1B,TRUE
Al Kaline,Detroit Tigers,RF,TRUE
Wade Boggs,Tampa Bay Rays,3B,TRUE
Albert Pujols,Los Angeles Angels,1B,FALSE
Roger Connor,St. Louis Cardinals,1B,TRUE
Chipper Jones,Atlanta Braves,3B,TRUE
George Brett,Kansas City Royals,3B,TRUE
George Davis,Chicago White Sox,SS,TRUE
Adrian Beltre,Texas Rangers,3B,FALSE
Joe DiMaggio,New York Yankees,CF,TRUE
Roberto Clemente,Pittsburgh Pirates,RF,TRUE
Jeff Bagwell,Houston Astros,1B,TRUE
Brooks Robinson,Baltimore Orioles,3B,TRUE
Dan Brouthers,San Francisco Giants,1B,TRUE
Charlie Gehringer,Detroit Tigers,2B,TRUE
Ken Griffey Jr.,Seattle Mariners,CF,TRUE
Bill Dahlen,Los Angeles Dodgers,SS,FALSE
Johnny Bench,Cincinnati Reds,C,TRUE
Frankie Frisch,St. Louis Cardinals,2B,TRUE
Paul Waner,New York Yankees,RF,TRUE
Ed Delahanty,Minnesota Twins,LF,TRUE
Fred Clarke,Pittsburgh Pirates,LF,TRUE
Derek Jeter,New York Yankees,SS,FALSE
Reggie Jackson,Oakland Athletics,RF,TRUE
Luke Appling,Chicago White Sox,SS,TRUE
Arky Vaughan,Los Angeles Dodgers,SS,TRUE
Rod Carew,Los Angeles Angels,1B,TRUE
Eddie Murray,Los Angeles Dodgers,1B,TRUE
Sam Crawford,Detroit Tigers,RF,TRUE
Ron Santo,Chicago White Sox,3B,TRUE
Miguel Cabrera,Detroit Tigers,1B,FALSE
Rafael Palmeiro,Baltimore Orioles,1B,FALSE
Scott Rolen,Cincinnati Reds,3B,FALSE
Gary Carter,Washington Nationals,C,TRUE
Al Simmons,Oakland Athletics,LF,TRUE
Bobby Grich,Los Angeles Angels,2B,FALSE
Harry Heilmann,Cincinnati Reds,RF,TRUE
Jim Thome,Baltimore Orioles,1B,TRUE
Ivan Rodriguez,Washington Nationals,C,TRUE
Larry Walker,St. Louis Cardinals,RF,FALSE
Johnny Mize,New York Yankees,1B,TRUE
Carlton Fisk,Chicago White Sox,C,TRUE
Lou Whitaker,Detroit Tigers,2B,FALSE
Carlos Beltran,Houston Astros,CF,FALSE
Paul Molitor,Minnesota Twins,DH,TRUE
Ozzie Smith,St. Louis Cardinals,SS,TRUE
Willie McCovey,San Francisco Giants,1B,TRUE
Barry Larkin,Cincinnati Reds,SS,TRUE
Andruw Jones,New York Yankees,CF,FALSE
Joe Cronin,Boston Red Sox,SS,TRUE
Jesse Burkett,Boston Red Sox,LF,TRUE
Robin Yount,Milwaukee Brewers,SS,TRUE
Manny Ramirez,Tampa Bay Rays,LF,FALSE
Mark McGwire,St. Louis Cardinals,1B,FALSE
Harmon Killebrew,Kansas City Royals,1B,TRUE
Craig Biggio,Houston Astros,2B,TRUE
Graig Nettles,Washington Nationals,3B,FALSE
Edgar Martinez,Seattle Mariners,DH,TRUE
Dwight Evans,Baltimore Orioles,RF,FALSE
Tony Gwynn,San Diego Padres,RF,TRUE
Mike Trout,Los Angeles Angels,CF,FALSE
Reggie Smith,San Francisco Giants,RF,FALSE
Jim Edmonds,St. Louis Cardinals,CF,FALSE
Lou Boudreau,Boston Red Sox,SS,TRUE
Goose Goslin,Minnesota Twins,LF,TRUE
Alan Trammell,Detroit Tigers,SS,TRUE
Yogi Berra,New York Mets,C,TRUE
Mike Piazza,Oakland Athletics,C,TRUE
Roberto Alomar,Chicago White Sox,2B,TRUE
Duke Snider,San Francisco Giants,CF,TRUE
Sherry Magee,Cincinnati Reds,LF,FALSE
Ernie Banks,Chicago Cubs,1B,TRUE
Chase Utley,Philadelphia Phillies,2B,FALSE
Zack Wheat,Oakland Athletics,LF,TRUE
Willie Stargell,Pittsburgh Pirates,LF,TRUE
Bid McPhee,Cincinnati Reds,2B,TRUE
Kenny Lofton,Cleveland Indians,CF,FALSE
Bobby Wallace,St. Louis Cardinals,SS,TRUE
Joe Torre,New York Mets,C,FALSE
Gary Sheffield,New York Mets,RF,FALSE
Willie Randolph,New York Mets,2B,FALSE
Buddy Bell,Texas Rangers,3B,FALSE
Dick Allen,Oakland Athletics,1B,FALSE
Pee Wee Reese,Los Angeles Dodgers,SS,TRUE
Jake Beckley,St. Louis Cardinals,1B,TRUE
Darrell Evans,Atlanta Braves,3B,FALSE
Hank Greenberg,Pittsburgh Pirates,1B,TRUE
Ryne Sandberg,Chicago Cubs,2B,TRUE
Joe Gordon,Cleveland Indians,2B,TRUE
Joe Jackson,Chicago White Sox,LF,FALSE
Sammy Sosa,Texas Rangers,RF,FALSE
Jack Glasscock,Pittsburgh Pirates,SS,FALSE
Max Carey,Los Angeles Dodgers,CF,TRUE
Dave Winfield,Cleveland Indians,RF,TRUE
Bobby Abreu,New York Mets,RF,FALSE
Andre Dawson,Miami Marlins,RF,TRUE
Keith Hernandez,Cleveland Indians,1B,FALSE
Tony Perez,Cincinnati Reds,1B,TRUE
Ichiro Suzuki,Seattle Mariners,RF,FALSE
Richie Ashburn,New York Mets,CF,TRUE
John Olerud,Boston Red Sox,1B,FALSE
Jackie Robinson,Los Angeles Dodgers,2B,TRUE
Bobby Bonds,Chicago Cubs,RF,FALSE
Bill Terry,San Francisco Giants,1B,TRUE
Fred McGriff,Tampa Bay Rays,1B,FALSE
Robin Ventura,Los Angeles Dodgers,3B,FALSE
Jimmy Sheckard,Cincinnati Reds,OF,FALSE
Robinson Cano,New York Mets,2B,FALSE
Sal Bando,Milwaukee Brewers,3B,FALSE
Bill Dickey,New York Yankees,C,TRUE
Jeff Kent,Los Angeles Dodgers,2B,FALSE
Elmer Flick,Cleveland Indians,RF,TRUE
Lance Berkman,Texas Rangers,1B,FALSE
Joey Votto,Cincinnati Reds,1B,FALSE
Stan Hack,Chicago Cubs,3B,FALSE
Willie Keeler,San Francisco Giants,RF,TRUE
Ron Cey,Oakland Athletics,3B,FALSE
Joe Tinker,Chicago Cubs,SS,TRUE
Todd Helton,Colorado Rockies,1B,FALSE
Billy Herman,Pittsburgh Pirates,2B,TRUE
Joe Kelley,Atlanta Braves,LF,TRUE
Harry Stovey,Los Angeles Dodgers,1B,FALSE
Ken Boyer,Los Angeles Dodgers,3B,FALSE
Norm Cash,Detroit Tigers,1B,FALSE
Vladimir Guerrero,Baltimore Orioles,RF,TRUE
Ted Simmons,Atlanta Braves,C,FALSE
Gabby Hartnett,San Francisco Giants,C,TRUE
Willie Davis,Los Angeles Angels,CF,FALSE
Bobby Doerr,Boston Red Sox,2B,TRUE
Kiki Cuyler,Los Angeles Dodgers,RF,TRUE
Jimmy Wynn,Milwaukee Brewers,CF,FALSE
Jimmy Collins,Oakland Athletics,3B,TRUE
Harry Hooper,Chicago White Sox,RF,TRUE
David Wright,New York Mets,3B,FALSE
Tommy Leach,Pittsburgh Pirates,CF,FALSE
Chet Lemon,Detroit Tigers,CF,FALSE
Will Clark,St. Louis Cardinals,1B,FALSE
George Sisler,Atlanta Braves,1B,TRUE
Enos Slaughter,Atlanta Braves,RF,TRUE
Larry Doby,Chicago White Sox,CF,TRUE
Jim Rice,Boston Red Sox,LF,TRUE
Minnie Minoso,Chicago White Sox,LF,FALSE
Mike Cameron,Miami Marlins,CF,FALSE
David Ortiz,Boston Red Sox,DH,FALSE
Mickey Cochrane,Detroit Tigers,C,TRUE
Jack Clark,Boston Red Sox,RF,FALSE
Bob Elliott,Chicago White Sox,3B,FALSE
Heinie Groh,Pittsburgh Pirates,3B,FALSE
Orlando Cepeda,Kansas City Royals,1B,TRUE
Sam Rice,Cleveland Indians,RF,TRUE
Tony Lazzeri,San Francisco Giants,2B,TRUE
Cesar Cedeno,Los Angeles Dodgers,CF,FALSE
Matt Holliday,Colorado Rockies,LF,FALSE
Jason Giambi,Cleveland Indians,1B,FALSE
Edd Roush,Cincinnati Reds,CF,TRUE
Larry Doyle,San Francisco Giants,2B,FALSE
Jimmy Rollins,Philadelphia Phillies,SS,FALSE
Ed Konetchy,Philadelphia Phillies,1B,FALSE
Dave Bancroft,San Francisco Giants,SS,TRUE
Rocky Colavito,New York Yankees,RF,FALSE
Fred Lynn,San Diego Padres,CF,FALSE
Joe Mauer,Minnesota Twins,C,FALSE
Luis Aparicio,Boston Red Sox,SS,TRUE
Johnny Evers,Atlanta Braves,2B,TRUE
John McGraw,San Francisco Giants,3B,FALSE
Curtis Granderson,Miami Marlins,LF,FALSE
Evan Longoria,San Francisco Giants,3B,FALSE
Vern Stephens,Chicago White Sox,SS,FALSE
Andrew McCutchen,Philadelphia Phillies,LF,FALSE
Brian Downing,Texas Rangers,DH,FALSE
Hugh Duffy,Philadelphia Phillies,CF,TRUE
Frank Chance,New York Yankees,1B,TRUE
Buck Ewing,Cincinnati Reds,C,TRUE
Joe Sewell,New York Yankees,SS,TRUE
Rusty Staub,New York Mets,OF,FALSE
Moises Alou,New York Mets,LF,FALSE
Ian Kinsler,San Diego Padres,2B,FALSE
Ralph Kiner,Cleveland Indians,LF,TRUE
Vada Pinson,Kansas City Royals,CF,FALSE
George Foster,Chicago White Sox,LF,FALSE
Dustin Pedroia,Boston Red Sox,2B,FALSE
Tony Phillips,Oakland Athletics,2B,FALSE
Charlie Keller,New York Yankees,LF,FALSE
Travis Jackson,San Francisco Giants,SS,TRUE
J.D. Drew,Boston Red Sox,RF,FALSE
Lave Cross,Minnesota Twins,3B,FALSE
Toby Harrah,Texas Rangers,3B,FALSE
Jimmy Ryan,Minnesota Twins,OF,FALSE
Joe Judge,Boston Red Sox,1B,FALSE
Cupid Childs,Chicago Cubs,2B,FALSE
Pete Browning,Los Angeles Dodgers,CF,FALSE
Mark Grace,Arizona Diamondbacks,1B,FALSE
Fred Tenney,Atlanta Braves,1B,FALSE
Nellie Fox,Houston Astros,2B,TRUE
Larry Gardner,Cleveland Indians,3B,FALSE
Fielder Jones,Chicago White Sox,CF,FALSE
King Kelly,San Francisco Giants,RF,TRUE
