Name,FGL ID,MLB ID,Team,Position,IN_HOF
Babe Ruth,1011327,121578,Atlanta Braves,RF,Yes
Barry Bonds,1109,111188,San Francisco Giants,LF,No
Willie Mays,1008315,118495,New York Mets,CF,Yes
Ty Cobb,1002378,112431,Oakland Athletics,CF,Yes
Honus Wagner,1013485,123784,Pittsburgh Pirates,SS,Yes
Hank Aaron,1000001,110001,Milwaukee Brewers,RF,Yes
Ted Williams,1014040,124341,Boston Red Sox,LF,Yes
Rogers Hornsby,1006030,116156,Baltimore Orioles,2B,Yes
Stan Musial,1009405,119602,St. Louis Cardinals,OF,Yes
Lou Gehrig,1004598,114680,New York Yankees,1B,Yes
Alex Rodriguez,1274,121347,New York Yankees,SS,No
Mickey Mantle,1008082,118258,New York Yankees,CF,Yes
Mel Ott,1009904,120117,San Francisco Giants,RF,Yes
Mike Schmidt,1011586,121836,Philadelphia Phillies,3B,Yes
Rickey Henderson,194,115749,Los Angeles Dodgers,LF,Yes
Frank Robinson,1011066,121311,Cleveland Indians,RF,Yes
Nap Lajoie,1007259,117414,Oakland Athletics,2B,Yes
Jimmie Foxx,1004285,114367,Philadelphia Phillies,1B,Yes
Eddie Mathews,1008236,118416,Detroit Tigers,3B,Yes
Carl Yastrzemski,1014326,124650,Boston Red Sox,LF,Yes
Cap Anson,1000272,110284,Chicago Cubs,1B,Yes
Al Kaline,1006678,116822,Detroit Tigers,RF,Yes
Wade Boggs,1001124,111153,Tampa Bay Rays,3B,Yes
Albert Pujols,1177,405395,Los Angeles Angels,1B,No
Roger Connor,1002537,112589,St. Louis Cardinals,1B,Yes
Chipper Jones,97,116706,Atlanta Braves,3B,Yes
George Brett,1001400,111437,Kansas City Royals,3B,Yes
George Davis,1003049,113106,Chicago White Sox,SS,Yes
Adrian Beltre,639,134181,Texas Rangers,3B,No
Joe DiMaggio,1003311,113376,New York Yankees,CF,Yes
Roberto Clemente,1002340,112391,Pittsburgh Pirates,RF,Yes
Jeff Bagwell,547,110432,Houston Astros,1B,Yes
Brooks Robinson,1011055,121301,Baltimore Orioles,3B,Yes
Dan Brouthers,1001486,111524,San Francisco Giants,1B,Yes
