Name,FGL ID,MLB ID,Team,Position,IN_HOF
Babe Ruth,1011327,121578,Atlanta Braves,RF,True
Barry Bonds,1109,111188,San Francisco Giants,LF,False
Willie Mays,1008315,118495,New York Mets,CF,True
Ty Cobb,1002378,112431,Oakland Athletics,CF,True
Honus Wagner,1013485,123784,Pittsburgh Pirates,SS,True
Hank Aaron,1000001,110001,Milwaukee Brewers,RF,True
Ted Williams,1014040,124341,Boston Red Sox,LF,True
Rogers Hornsby,1006030,116156,Baltimore Orioles,2B,True
Stan Musial,1009405,119602,St. Louis Cardinals,OF,True
Lou Gehrig,1004598,114680,New York Yankees,1B,True
Alex Rodriguez,1274,121347,New York Yankees,SS,False
Mickey Mantle,1008082,118258,New York Yankees,CF,True
Mel Ott,1009904,120117,San Francisco Giants,RF,True
Mike Schmidt,1011586,121836,Philadelphia Phillies,3B,True
Rickey Henderson,194,115749,Los Angeles Dodgers,LF,True
Frank Robinson,1011066,121311,Cleveland Indians,RF,True
Nap Lajoie,1007259,117414,Oakland Athletics,2B,True
Jimmie Foxx,1004285,114367,Philadelphia Phillies,1B,True
Eddie Mathews,1008236,118416,Detroit Tigers,3B,True
Carl Yastrzemski,1014326,124650,Boston Red Sox,LF,True
Cap Anson,1000272,110284,Chicago Cubs,1B,True
Al Kaline,1006678,116822,Detroit Tigers,RF,True
Wade Boggs,1001124,111153,Tampa Bay Rays,3B,True
Albert Pujols,1177,405395,Los Angeles Angels,1B,False
Roger Connor,1002537,112589,St. Louis Cardinals,1B,True
Chipper Jones,97,116706,Atlanta Braves,3B,True
George Brett,1001400,111437,Kansas City Royals,3B,True
George Davis,1003049,113106,Chicago White Sox,SS,True
Adrian Beltre,639,134181,Texas Rangers,3B,False
Joe DiMaggio,1003311,113376,New York Yankees,CF,True
Roberto Clemente,1002340,112391,Pittsburgh Pirates,RF,True
Jeff Bagwell,547,110432,Houston Astros,1B,True
Brooks Robinson,1011055,121301,Baltimore Orioles,3B,True
Dan Brouthers,1001486,111524,San Francisco Giants,1B,True
Charlie Gehringer,1004596,114682,Detroit Tigers,2B,True
Ken Griffey Jr.,327,115135,Seattle Mariners,CF,True
Bill Dahlen,1002924,112991,Los Angeles Dodgers,SS,False
Johnny Bench,1000826,110849,Cincinnati Reds,C,True
Frankie Frisch,1004364,114448,St. Louis Cardinals,2B,True
Paul Waner,1013597,123905,New York Yankees,RF,True
Ed Delahanty,1003155,113218,Minnesota Twins,LF,True
Fred Clarke,1002280,112352,Pittsburgh Pirates,LF,True
Derek Jeter,826,116539,New York Yankees,SS,False
Reggie Jackson,1006308,116439,Oakland Athletics,RF,True
Luke Appling,1000284,110297,Chicago White Sox,SS,True
Arky Vaughan,1013377,123671,Los Angeles Dodgers,SS,True
Rod Carew,1001942,111986,Los Angeles Angels,1B,True
Eddie Murray,1009386,119579,Los Angeles Dodgers,1B,True
Sam Crawford,1002748,112806,Detroit Tigers,RF,True
Ron Santo,1011447,121697,Chicago White Sox,3B,True
Miguel Cabrera,1744,408234,Detroit Tigers,1B,False
Rafael Palmeiro,1266,120191,Baltimore Orioles,1B,False
Scott Rolen,970,121409,Cincinnati Reds,3B,False
Gary Carter,1002015,112061,Washington Nationals,C,True
Al Simmons,1011978,122240,Oakland Athletics,LF,True
Bobby Grich,1005033,115130,Los Angeles Angels,2B,False
Harry Heilmann,1005590,115705,Cincinnati Reds,RF,True
Jim Thome,409,123272,Baltimore Orioles,1B,True
Ivan Rodriguez,1275,121358,Washington Nationals,C,True
Larry Walker,455,123833,St. Louis Cardinals,RF,False
Johnny Mize,1009014,119207,New York Yankees,1B,True
Carlton Fisk,1004101,114182,Chicago White Sox,C,True
Lou Whitaker,1013846,124154,Detroit Tigers,2B,False
Carlos Beltran,589,136860,Houston Astros,CF,False
Paul Molitor,1009040,119236,Minnesota Twins,DH,True
Ozzie Smith,1012186,122439,St. Louis Cardinals,SS,True
Willie McCovey,1008423,118605,San Francisco Giants,1B,True
Barry Larkin,335,117501,Cincinnati Reds,SS,True
Andruw Jones,96,116662,New York Yankees,CF,False
Joe Cronin,1002796,112854,Boston Red Sox,SS,True
Jesse Burkett,1001682,111733,Boston Red Sox,LF,True
Robin Yount,1014396,124721,Milwaukee Brewers,SS,True
Manny Ramirez,210,120903,Tampa Bay Rays,LF,False
Mark McGwire,1008559,118743,St. Louis Cardinals,1B,False
Harmon Killebrew,1006905,117051,Kansas City Royals,1B,True
Craig Biggio,549,110987,Houston Astros,2B,True
Graig Nettles,1009517,119720,Washington Nationals,3B,False
Edgar Martinez,1086,118365,Seattle Mariners,DH,True
Dwight Evans,1003865,113936,Baltimore Orioles,RF,False
Tony Gwynn,1005166,115270,San Diego Padres,RF,True
Mike Trout,10155,545361,Los Angeles Angels,CF,False
Reggie Smith,1012201,122360,San Francisco Giants,RF,False
Jim Edmonds,1153,113744,St. Louis Cardinals,CF,False
Lou Boudreau,1001234,111272,Boston Red Sox,SS,True
Goose Goslin,1004893,114987,Minnesota Twins,LF,True
Alan Trammell,1013157,123437,Detroit Tigers,SS,True
Yogi Berra,1000898,110925,New York Mets,C,True
Mike Piazza,893,120536,Oakland Athletics,C,True
Roberto Alomar,860,110183,Chicago White Sox,2B,True
Duke Snider,1012230,122488,San Francisco Giants,CF,True
Sherry Magee,1007965,118135,Cincinnati Reds,LF,False
Ernie Banks,1000512,110533,Chicago Cubs,1B,True
Chase Utley,1679,400284,Philadelphia Phillies,2B,False
Zack Wheat,1013828,124134,Oakland Athletics,LF,True
Willie Stargell,1012426,122685,Pittsburgh Pirates,LF,True
Bid McPhee,1008675,118860,Cincinnati Reds,2B,True
Kenny Lofton,246,117863,Cleveland Indians,CF,False
Bobby Wallace,1013542,123864,St. Louis Cardinals,SS,True
Joe Torre,1013133,123406,New York Mets,C,False
Gary Sheffield,114,122111,New York Mets,RF,False
Willie Randolph,1010694,120927,New York Mets,2B,False
